in:Window placement,in:Orientation,out:% of Total Area,out:Panel Number_1,out:Panel Number_2,out:Panel Number_3,out:Panel Number_4,img
213,360,0.483333,9,4,12,13,Windowplacement213_Orientation360.png
380,360,0.533333,16,17,13,6,Windowplacement380_Orientation360.png
393,360,0.522222,16,18,13,6,Windowplacement393_Orientation360.png
192,360,0.538889,0,19,6,15,Windowplacement192_Orientation360.png
288,360,0.494444,18,12,13,15,Windowplacement288_Orientation360.png
219,360,0.511111,0,19,11,5,Windowplacement219_Orientation360.png
190,360,0.527778,0,13,14,15,Windowplacement190_Orientation360.png
100,360,0.516667,0,17,11,5,Windowplacement100_Orientation360.png
375,360,0.511111,16,18,6,15,Windowplacement375_Orientation360.png
257,360,0.705556,8,17,4,5,Windowplacement257_Orientation360.png
131,360,0.722222,2,13,5,6,Windowplacement131_Orientation360.png
80,360,0.711111,16,0,10,2,Windowplacement80_Orientation360.png
0,360,0.711111,0,9,3,19,Windowplacement0_Orientation360.png
382,360,0.705556,10,3,11,6,Windowplacement382_Orientation360.png
218,360,0.694444,0,2,4,7,Windowplacement218_Orientation360.png
349,360,0.683333,0,1,18,10,Windowplacement349_Orientation360.png
228,360,0.7,9,3,6,7,Windowplacement228_Orientation360.png
179,360,0.7,3,11,5,4,Windowplacement179_Orientation360.png
336,360,0.733333,0,10,4,5,Windowplacement336_Orientation360.png
369,360,0.705556,8,1,19,4,Windowplacement369_Orientation360.png
73,360,0.722222,16,9,11,4,Windowplacement73_Orientation360.png
268,360,0.705556,17,1,4,6,Windowplacement268_Orientation360.png
180,360,0.722222,1,10,4,5,Windowplacement180_Orientation360.png
486,360,0.727778,8,11,4,5,Windowplacement486_Orientation360.png
491,360,0.722222,2,18,10,5,Windowplacement491_Orientation360.png
23,360,0.761111,0,9,4,7,Windowplacement23_Orientation360.png
265,360,0.722222,17,2,19,4,Windowplacement265_Orientation360.png
107,360,0.694444,4,13,6,7,Windowplacement107_Orientation360.png
121,360,0.733333,0,3,4,5,Windowplacement121_Orientation360.png
59,360,0.744444,2,3,5,6,Windowplacement59_Orientation360.png
187,360,0.733333,0,10,4,7,Windowplacement187_Orientation360.png
215,360,0.755556,17,10,4,5,Windowplacement215_Orientation360.png
240,360,0.733333,17,10,1,3,Windowplacement240_Orientation360.png
317,360,0.744444,17,9,3,19,Windowplacement317_Orientation360.png
