in:Window placements,out:% of Total Area,out:Panel Numbers_1,out:Panel Numbers_2,out:Panel Numbers_3,out:Panel Numbers_4,img
124,0.655556,9,2,4,7,Windowplacements124.png
125.0,0.588889,16,0,4,14,Windowplacements125.0.png
126.0,0.488889,16,17,12,5,Windowplacements126.0.png
127.0,0.616667,16,10,20,14,Windowplacements127.0.png
128.0,0.633333,2,11,5,6,Windowplacements128.0.png
129,0.661111,2,19,14,6,Windowplacements129.png
130,0.594444,0,16,13,6,Windowplacements130.png
131,0.594444,0,16,3,5,Windowplacements131.png
132,0.688889,9,2,10,17,Windowplacements132.png
133,0.65,0,12,4,20,Windowplacements133.png
134,0.555556,16,19,13,15,Windowplacements134.png
135,0.644444,16,9,4,15,Windowplacements135.png
136,0.633333,17,11,19,3,Windowplacements136.png
137,0.6,17,18,11,20,Windowplacements137.png
138,0.644444,18,11,6,14,Windowplacements138.png
139,0.655556,16,2,20,6,Windowplacements139.png
140,0.644444,11,4,5,14,Windowplacements140.png
141,0.627778,8,2,11,20,Windowplacements141.png
142,0.627778,17,2,11,19,Windowplacements142.png
143,0.694444,9,19,20,6,Windowplacements143.png
144,0.688889,3,20,4,13,Windowplacements144.png
145,0.6,19,12,5,14,Windowplacements145.png
146,0.638889,0,17,2,7,Windowplacements146.png
147,0.583333,15,18,5,7,Windowplacements147.png
148,0.611111,0,16,12,13,Windowplacements148.png
149,0.688889,2,12,6,15,Windowplacements149.png
150,0.644444,16,19,12,6,Windowplacements150.png
151,0.666667,17,2,12,7,Windowplacements151.png
152,0.655556,1,18,14,6,Windowplacements152.png
153,0.644444,16,8,10,6,Windowplacements153.png
154,0.127778,0,18,19,3,Windowplacements154.png
155,0.472222,16,18,19,5,Windowplacements155.png
156,0.677778,9,20,6,15,Windowplacements156.png
157,0.633333,2,11,12,5,Windowplacements157.png
158,0.5,18,19,13,15,Windowplacements158.png
159,0.588889,16,19,4,7,Windowplacements159.png
160,0.105556,1,10,20,13,Windowplacements160.png
161,0.627778,16,0,11,12,Windowplacements161.png
162,0.644444,8,17,18,6,Windowplacements162.png
163,0.633333,1,2,19,15,Windowplacements163.png
164,0.738889,0,9,3,20,Windowplacements164.png
165,0.655556,16,2,6,7,Windowplacements165.png
166,0.694444,9,19,4,6,Windowplacements166.png
167,0.65,10,19,11,6,Windowplacements167.png
168,0.688889,9,2,11,4,Windowplacements168.png
169,0.622222,8,11,6,7,Windowplacements169.png
170,0.627778,2,10,6,14,Windowplacements170.png
171,0.638889,0,17,12,6,Windowplacements171.png
172,0.655556,8,20,5,7,Windowplacements172.png
173,0.638889,0,4,20,14,Windowplacements173.png
174,0.622222,18,3,10,5,Windowplacements174.png
175,0.633333,4,13,14,6,Windowplacements175.png
176,0.677778,1,9,17,6,Windowplacements176.png
177,0.622222,9,5,6,13,Windowplacements177.png
178,0.666667,16,8,18,11,Windowplacements178.png
179,0.561111,4,12,14,13,Windowplacements179.png
180,0.177778,0,16,10,19,Windowplacements180.png
181,0.711111,8,16,19,14,Windowplacements181.png
182,0.483333,8,9,3,12,Windowplacements182.png
183,0.661111,2,20,13,15,Windowplacements183.png
184,0.6,1,9,11,13,Windowplacements184.png
185,0.688889,3,20,19,7,Windowplacements185.png
186,0.611111,10,2,11,6,Windowplacements186.png
187,0.55,16,12,13,14,Windowplacements187.png
188,0.655556,11,20,19,14,Windowplacements188.png
189,0.727778,1,9,3,18,Windowplacements189.png
190,0.522222,0,17,4,15,Windowplacements190.png
191,0.655556,16,1,19,13,Windowplacements191.png
192,0.655556,2,11,10,7,Windowplacements192.png
193,0.733333,16,8,18,3,Windowplacements193.png
194,0.577778,1,10,17,6,Windowplacements194.png
195,0.561111,8,9,19,13,Windowplacements195.png
196,0.511111,9,11,19,13,Windowplacements196.png
197,0.688889,8,1,19,4,Windowplacements197.png
198,0.633333,0,20,5,14,Windowplacements198.png
199,0.672222,1,10,3,14,Windowplacements199.png
200,0.688889,8,17,0,3,Windowplacements200.png
201,0.655556,16,10,12,7,Windowplacements201.png
202,0.683333,9,10,14,6,Windowplacements202.png
203,0.683333,2,3,18,13,Windowplacements203.png
204,0.222222,1,10,18,20,Windowplacements204.png
205,0.711111,8,3,6,15,Windowplacements205.png
206,0.611111,7,20,13,15,Windowplacements206.png
207,0.638889,16,1,5,13,Windowplacements207.png
208,0.661111,8,1,18,12,Windowplacements208.png
209,0.638889,0,2,18,20,Windowplacements209.png
210,0.694444,8,0,10,7,Windowplacements210.png
211,0.561111,10,19,4,20,Windowplacements211.png
212,0.65,14,5,6,7,Windowplacements212.png
213,0.6,8,9,10,12,Windowplacements213.png
214,0.588889,0,3,11,15,Windowplacements214.png
215,0.627778,16,11,4,13,Windowplacements215.png
216,0.472222,16,18,19,15,Windowplacements216.png
217,0.644444,15,1,17,7,Windowplacements217.png
218,0.694444,15,9,1,7,Windowplacements218.png
219,0.622222,8,9,3,6,Windowplacements219.png
220,0.688889,0,8,20,14,Windowplacements220.png
221,0.683333,9,19,20,4,Windowplacements221.png
222,0.638889,16,18,3,19,Windowplacements222.png
223,0.127778,1,11,4,20,Windowplacements223.png
224,0.672222,9,2,4,7,Windowplacements224.png
225,0.6,16,0,4,14,Windowplacements225.png
226,0.544444,16,17,12,5,Windowplacements226.png
227,0.65,16,10,20,14,Windowplacements227.png
228,0.661111,2,11,5,6,Windowplacements228.png
229,0.683333,2,19,14,6,Windowplacements229.png
230,0.605556,0,16,13,6,Windowplacements230.png
231,0.572222,0,16,3,5,Windowplacements231.png
232,0.672222,9,2,10,17,Windowplacements232.png
233,0.655556,0,12,4,20,Windowplacements233.png
234,0.55,16,19,13,15,Windowplacements234.png
235,0.666667,16,9,4,15,Windowplacements235.png
236,0.588889,17,11,19,3,Windowplacements236.png
237,0.577778,17,18,11,20,Windowplacements237.png
238,0.655556,18,11,6,14,Windowplacements238.png
239,0.588889,16,2,20,6,Windowplacements239.png
240,0.6,11,4,5,14,Windowplacements240.png
241,0.644444,8,2,11,20,Windowplacements241.png
242,0.616667,17,2,11,19,Windowplacements242.png
243,0.688889,9,19,20,6,Windowplacements243.png
244,0.694444,3,20,4,13,Windowplacements244.png
245,0.577778,19,12,5,14,Windowplacements245.png
246,0.661111,0,17,2,7,Windowplacements246.png
247,0.572222,15,18,5,7,Windowplacements247.png
248,0.583333,0,16,12,13,Windowplacements248.png
249,0.666667,2,12,6,15,Windowplacements249.png
250.0,0.666667,16,19,12,6,Windowplacements250.0.png
251.0,0.65,17,2,12,7,Windowplacements251.0.png
252.0,0.633333,1,18,14,6,Windowplacements252.0.png
253.0,0.616667,16,8,10,6,Windowplacements253.0.png
254.0,0.133333,0,18,19,3,Windowplacements254.0.png
255.0,0.483333,16,18,19,5,Windowplacements255.0.png
256.0,0.677778,9,20,6,15,Windowplacements256.0.png
257,0.666667,2,11,12,5,Windowplacements257.png
258,0.522222,18,19,13,15,Windowplacements258.png
259,0.588889,16,19,4,7,Windowplacements259.png
260,0.061111,1,10,20,13,Windowplacements260.png
261,0.622222,16,0,11,12,Windowplacements261.png
262,0.688889,8,17,18,6,Windowplacements262.png
263,0.611111,1,2,19,15,Windowplacements263.png
264,0.711111,0,9,3,20,Windowplacements264.png
265,0.633333,16,2,6,7,Windowplacements265.png
266,0.627778,9,19,4,6,Windowplacements266.png
267,0.644444,10,19,11,6,Windowplacements267.png
268,0.683333,9,2,11,4,Windowplacements268.png
269,0.616667,8,11,6,7,Windowplacements269.png
270,0.616667,2,10,6,14,Windowplacements270.png
271,0.605556,0,17,12,6,Windowplacements271.png
272,0.666667,8,20,5,7,Windowplacements272.png
273,0.65,0,4,20,14,Windowplacements273.png
274,0.644444,18,3,10,5,Windowplacements274.png
275,0.655556,4,13,14,6,Windowplacements275.png
276,0.688889,1,9,17,6,Windowplacements276.png
277,0.622222,9,5,6,13,Windowplacements277.png
278,0.716667,16,8,18,11,Windowplacements278.png
279,0.561111,4,12,14,13,Windowplacements279.png
280,0.222222,0,16,10,19,Windowplacements280.png
281,0.672222,8,16,19,14,Windowplacements281.png
282,0.483333,8,9,3,12,Windowplacements282.png
283,0.627778,2,20,13,15,Windowplacements283.png
284,0.572222,1,9,11,13,Windowplacements284.png
285,0.772222,3,20,19,7,Windowplacements285.png
286,0.65,10,2,11,6,Windowplacements286.png
287,0.561111,16,12,13,14,Windowplacements287.png
288,0.688889,11,20,19,14,Windowplacements288.png
289,0.727778,1,9,3,18,Windowplacements289.png
290,0.488889,0,17,4,15,Windowplacements290.png
291,0.627778,16,1,19,13,Windowplacements291.png
292,0.627778,2,11,10,7,Windowplacements292.png
293,0.705556,16,8,18,3,Windowplacements293.png
294,0.561111,1,10,17,6,Windowplacements294.png
295,0.55,8,9,19,13,Windowplacements295.png
296,0.533333,9,11,19,13,Windowplacements296.png
297,0.683333,8,1,19,4,Windowplacements297.png
298,0.6,0,20,5,14,Windowplacements298.png
299,0.672222,1,10,3,14,Windowplacements299.png
300,0.7,8,17,0,3,Windowplacements300.png
301,0.65,16,10,12,7,Windowplacements301.png
302,0.672222,9,10,14,6,Windowplacements302.png
303,0.65,2,3,18,13,Windowplacements303.png
304,0.233333,1,10,18,20,Windowplacements304.png
305,0.711111,8,3,6,15,Windowplacements305.png
306,0.65,7,20,13,15,Windowplacements306.png
307,0.65,16,1,5,13,Windowplacements307.png
308,0.655556,8,1,18,12,Windowplacements308.png
309,0.622222,0,2,18,20,Windowplacements309.png
310,0.694444,8,0,10,7,Windowplacements310.png
311,0.55,10,19,4,20,Windowplacements311.png
312,0.688889,14,5,6,7,Windowplacements312.png
313,0.622222,8,9,10,12,Windowplacements313.png
314,0.555556,0,3,11,15,Windowplacements314.png
315,0.65,16,11,4,13,Windowplacements315.png
316,0.477778,16,18,19,15,Windowplacements316.png
317,0.622222,15,1,17,7,Windowplacements317.png
318,0.683333,15,9,1,7,Windowplacements318.png
319,0.65,8,9,3,6,Windowplacements319.png
320,0.694444,0,8,20,14,Windowplacements320.png
321,0.738889,9,19,20,4,Windowplacements321.png
322,0.655556,16,18,3,19,Windowplacements322.png
323,0.111111,1,11,4,20,Windowplacements323.png
324,0.672222,9,2,4,7,Windowplacements324.png
325,0.55,16,0,4,14,Windowplacements325.png
326,0.538889,16,17,12,5,Windowplacements326.png
327,0.605556,16,10,20,14,Windowplacements327.png
328,0.644444,2,11,5,6,Windowplacements328.png
329,0.644444,2,19,14,6,Windowplacements329.png
330,0.583333,0,16,13,6,Windowplacements330.png
331,0.594444,0,16,3,5,Windowplacements331.png
332,0.694444,9,2,10,17,Windowplacements332.png
333,0.672222,0,12,4,20,Windowplacements333.png
334,0.522222,16,19,13,15,Windowplacements334.png
335,0.644444,16,9,4,15,Windowplacements335.png
336,0.638889,17,11,19,3,Windowplacements336.png
337,0.577778,17,18,11,20,Windowplacements337.png
338,0.644444,18,11,6,14,Windowplacements338.png
339,0.644444,16,2,20,6,Windowplacements339.png
340,0.594444,11,4,5,14,Windowplacements340.png
341,0.611111,8,2,11,20,Windowplacements341.png
342,0.633333,17,2,11,19,Windowplacements342.png
343,0.694444,9,19,20,6,Windowplacements343.png
344,0.683333,3,20,4,13,Windowplacements344.png
345,0.566667,19,12,5,14,Windowplacements345.png
346,0.661111,0,17,2,7,Windowplacements346.png
347,0.611111,15,18,5,7,Windowplacements347.png
348,0.583333,0,16,12,13,Windowplacements348.png
349,0.677778,2,12,6,15,Windowplacements349.png
350,0.644444,16,19,12,6,Windowplacements350.png
351,0.672222,17,2,12,7,Windowplacements351.png
352,0.633333,1,18,14,6,Windowplacements352.png
353,0.638889,16,8,10,6,Windowplacements353.png
354,0.15,0,18,19,3,Windowplacements354.png
355,0.466667,16,18,19,5,Windowplacements355.png
356,0.683333,9,20,6,15,Windowplacements356.png
357,0.638889,2,11,12,5,Windowplacements357.png
358,0.466667,18,19,13,15,Windowplacements358.png
359,0.616667,16,19,4,7,Windowplacements359.png
360,0.083333,1,10,20,13,Windowplacements360.png
361,0.661111,16,0,11,12,Windowplacements361.png
362,0.633333,8,17,18,6,Windowplacements362.png
363,0.622222,1,2,19,15,Windowplacements363.png
364,0.744444,0,9,3,20,Windowplacements364.png
365,0.627778,16,2,6,7,Windowplacements365.png
366,0.666667,9,19,4,6,Windowplacements366.png
367,0.655556,10,19,11,6,Windowplacements367.png
368,0.7,9,2,11,4,Windowplacements368.png
369,0.611111,8,11,6,7,Windowplacements369.png
370,0.638889,2,10,6,14,Windowplacements370.png
371,0.605556,0,17,12,6,Windowplacements371.png
372,0.688889,8,20,5,7,Windowplacements372.png
373,0.644444,0,4,20,14,Windowplacements373.png
374,0.688889,18,3,10,5,Windowplacements374.png
375,0.655556,4,13,14,6,Windowplacements375.png
376,0.672222,1,9,17,6,Windowplacements376.png
377,0.65,9,5,6,13,Windowplacements377.png
378,0.677778,16,8,18,11,Windowplacements378.png
379,0.583333,4,12,14,13,Windowplacements379.png
380,0.227778,0,16,10,19,Windowplacements380.png
381,0.694444,8,16,19,14,Windowplacements381.png
382,0.494444,8,9,3,12,Windowplacements382.png
