in:AR1,in:AR2,in:Z ,in:Distance,in:Number,out:DA,out:Window Area,img
3,3,3,9,1,0.305556,9,AR13_AR23_Z3_Distance9_Number1.png
1,1,1,3,2,0.018519,1,AR11_AR21_Z1_Distance3_Number2.png
2,1,1,3,2,0.097222,2,AR12_AR21_Z1_Distance3_Number2.png
3,1,1,3,2,0.157407,3,AR13_AR21_Z1_Distance3_Number2.png
1,2,1,3,2,0.074074,2,AR11_AR22_Z1_Distance3_Number2.png
2,2,1,3,2,0.287037,4,AR12_AR22_Z1_Distance3_Number2.png
3,2,1,3,2,0.430556,6,AR13_AR22_Z1_Distance3_Number2.png
1,3,1,3,2,0.194444,3,AR11_AR23_Z1_Distance3_Number2.png
2,3,1,3,2,0.472222,6,AR12_AR23_Z1_Distance3_Number2.png
3,3,1,3,2,0.592593,9,AR13_AR23_Z1_Distance3_Number2.png
1,1,2,3,2,0,1,AR11_AR21_Z2_Distance3_Number2.png
2,1,2,3,2,0.060185,2,AR12_AR21_Z2_Distance3_Number2.png
3,1,2,3,2,0.175926,3,AR13_AR21_Z2_Distance3_Number2.png
1,2,2,3,2,0.018519,2,AR11_AR22_Z2_Distance3_Number2.png
2,2,2,3,2,0.310185,4,AR12_AR22_Z2_Distance3_Number2.png
3,2,2,3,2,0.476852,6,AR13_AR22_Z2_Distance3_Number2.png
1,3,2,3,2,0.208333,3,AR11_AR23_Z2_Distance3_Number2.png
2,3,2,3,2,0.453704,6,AR12_AR23_Z2_Distance3_Number2.png
3,3,2,3,2,0.592593,9,AR13_AR23_Z2_Distance3_Number2.png
1,1,3,3,2,0,1,AR11_AR21_Z3_Distance3_Number2.png
2,1,3,3,2,0,2,AR12_AR21_Z3_Distance3_Number2.png
3,1,3,3,2,0.180556,3,AR13_AR21_Z3_Distance3_Number2.png
1,2,3,3,2,0,2,AR11_AR22_Z3_Distance3_Number2.png
2,2,3,3,2,0.310185,4,AR12_AR22_Z3_Distance3_Number2.png
3,2,3,3,2,0.458333,6,AR13_AR22_Z3_Distance3_Number2.png
1,3,3,3,2,0.101852,3,AR11_AR23_Z3_Distance3_Number2.png
2,3,3,3,2,0.444444,6,AR12_AR23_Z3_Distance3_Number2.png
3,3,3,3,2,0.555556,9,AR13_AR23_Z3_Distance3_Number2.png
1,1,1,6,2,0.018519,1,AR11_AR21_Z1_Distance6_Number2.png
2,1,1,6,2,0.074074,2,AR12_AR21_Z1_Distance6_Number2.png
3,1,1,6,2,0.12037,3,AR13_AR21_Z1_Distance6_Number2.png
1,2,1,6,2,0.041667,2,AR11_AR22_Z1_Distance6_Number2.png
2,2,1,6,2,0.236111,4,AR12_AR22_Z1_Distance6_Number2.png
3,2,1,6,2,0.532407,6,AR13_AR22_Z1_Distance6_Number2.png
1,3,1,6,2,0.12037,3,AR11_AR23_Z1_Distance6_Number2.png
2,3,1,6,2,0.546296,6,AR12_AR23_Z1_Distance6_Number2.png
3,3,1,6,2,0.708333,9,AR13_AR23_Z1_Distance6_Number2.png
1,1,2,6,2,0,1,AR11_AR21_Z2_Distance6_Number2.png
2,1,2,6,2,0.00463,2,AR12_AR21_Z2_Distance6_Number2.png
3,1,2,6,2,0.097222,3,AR13_AR21_Z2_Distance6_Number2.png
1,2,2,6,2,0,2,AR11_AR22_Z2_Distance6_Number2.png
2,2,2,6,2,0.393519,4,AR12_AR22_Z2_Distance6_Number2.png
3,2,2,6,2,0.537037,6,AR13_AR22_Z2_Distance6_Number2.png
1,3,2,6,2,0.041667,3,AR11_AR23_Z2_Distance6_Number2.png
2,3,2,6,2,0.537037,6,AR12_AR23_Z2_Distance6_Number2.png
3,3,2,6,2,0.722222,9,AR13_AR23_Z2_Distance6_Number2.png
1,1,3,6,2,0,1,AR11_AR21_Z3_Distance6_Number2.png
2,1,3,6,2,0,2,AR12_AR21_Z3_Distance6_Number2.png
3,1,3,6,2,0.009259,3,AR13_AR21_Z3_Distance6_Number2.png
1,2,3,6,2,0,2,AR11_AR22_Z3_Distance6_Number2.png
2,2,3,6,2,0.296296,4,AR12_AR22_Z3_Distance6_Number2.png
3,2,3,6,2,0.532407,6,AR13_AR22_Z3_Distance6_Number2.png
1,3,3,6,2,0,3,AR11_AR23_Z3_Distance6_Number2.png
2,3,3,6,2,0.486111,6,AR12_AR23_Z3_Distance6_Number2.png
3,3,3,6,2,0.643519,9,AR13_AR23_Z3_Distance6_Number2.png
1,1,1,9,2,0.018519,1,AR11_AR21_Z1_Distance9_Number2.png
2,1,1,9,2,0.074074,2,AR12_AR21_Z1_Distance9_Number2.png
