in:Window placements,out:% of Total Area,out:Panel Numbers_1,out:Panel Numbers_2,out:Panel Numbers_3,out:Panel Numbers_4,img
124,0.672222,8,9,5,6,Windowplacements124.png
125.0,0.677778,8,0,6,15,Windowplacements125.0.png
126.0,0.6,16,12,5,15,Windowplacements126.0.png
127.0,0.633333,8,1,18,9,Windowplacements127.0.png
128.0,0.572222,17,10,9,15,Windowplacements128.0.png
129,0.638889,0,1,8,14,Windowplacements129.png
130,0.661111,16,17,4,5,Windowplacements130.png
131,0.716667,2,13,5,6,Windowplacements131.png
132,0.677778,16,9,1,11,Windowplacements132.png
133,0.633333,18,2,12,3,Windowplacements133.png
134,0.672222,16,9,2,5,Windowplacements134.png
135,0.611111,17,10,6,7,Windowplacements135.png
136,0.661111,1,2,6,7,Windowplacements136.png
137,0.666667,1,3,5,7,Windowplacements137.png
138,0.666667,2,3,5,7,Windowplacements138.png
139,0.544444,0,19,5,7,Windowplacements139.png
140,0.583333,8,9,13,7,Windowplacements140.png
141,0.594444,9,10,13,7,Windowplacements141.png
142,0.588889,9,18,17,14,Windowplacements142.png
143,0.555556,10,19,18,14,Windowplacements143.png
144,0.472222,17,18,11,6,Windowplacements144.png
145,0.588889,0,16,9,14,Windowplacements145.png
146,0.65,8,17,2,16,Windowplacements146.png
147,0.655556,9,10,11,12,Windowplacements147.png
148,0.594444,16,0,4,14,Windowplacements148.png
149,0.661111,0,16,4,7,Windowplacements149.png
150,0.544444,0,17,16,7,Windowplacements150.png
151,0.688889,8,16,10,18,Windowplacements151.png
152,0.644444,16,1,9,13,Windowplacements152.png
153,0.605556,1,10,9,13,Windowplacements153.png
154,0.65,8,2,11,13,Windowplacements154.png
155,0.65,16,1,10,11,Windowplacements155.png
156,0.711111,0,9,11,12,Windowplacements156.png
157,0.688889,8,2,19,13,Windowplacements157.png
158,0.638889,8,1,2,11,Windowplacements158.png
159,0.583333,18,3,12,6,Windowplacements159.png
160,0.605556,10,4,5,14,Windowplacements160.png
161,0.622222,17,3,12,6,Windowplacements161.png
162,0.661111,1,2,17,12,Windowplacements162.png
163,0.666667,16,8,0,15,Windowplacements163.png
164,0.633333,2,11,12,6,Windowplacements164.png
165,0.644444,16,2,12,6,Windowplacements165.png
166,0.705556,9,18,1,3,Windowplacements166.png
167,0.616667,9,2,13,7,Windowplacements167.png
168,0.65,9,18,2,5,Windowplacements168.png
169,0.672222,8,1,12,6,Windowplacements169.png
170,0.633333,9,2,12,6,Windowplacements170.png
171,0.583333,8,17,6,7,Windowplacements171.png
172,0.655556,9,18,6,7,Windowplacements172.png
173,0.672222,9,19,6,7,Windowplacements173.png
174,0.661111,8,9,18,4,Windowplacements174.png
175,0.705556,8,19,3,6,Windowplacements175.png
176,0.638889,8,19,13,5,Windowplacements176.png
177,0.705556,0,17,9,7,Windowplacements177.png
178,0.694444,2,19,10,5,Windowplacements178.png
179,0.722222,3,11,5,4,Windowplacements179.png
180,0.727778,1,10,4,5,Windowplacements180.png
181,0.622222,0,17,5,13,Windowplacements181.png
182,0.638889,8,17,1,12,Windowplacements182.png
183,0.7,2,11,4,7,Windowplacements183.png
184,0.533333,0,17,6,15,Windowplacements184.png
185,0.683333,8,15,0,7,Windowplacements185.png
186,0.688889,8,16,2,12,Windowplacements186.png
187,0.744444,0,10,4,7,Windowplacements187.png
188,0.688889,0,9,18,12,Windowplacements188.png
189,0.472222,6,12,14,15,Windowplacements189.png
190,0.516667,0,13,14,15,Windowplacements190.png
191,0.477778,0,18,6,15,Windowplacements191.png
192,0.516667,0,19,6,15,Windowplacements192.png
193,0.616667,1,10,12,13,Windowplacements193.png
194,0.566667,12,5,14,15,Windowplacements194.png
195,0.65,16,8,13,5,Windowplacements195.png
196,0.583333,10,19,14,6,Windowplacements196.png
197,0.622222,8,16,13,6,Windowplacements197.png
198,0.644444,17,2,3,15,Windowplacements198.png
199,0.666667,9,19,12,5,Windowplacements199.png
200,0.655556,2,11,12,15,Windowplacements200.png
201,0.555556,16,0,12,15,Windowplacements201.png
202,0.638889,18,11,3,6,Windowplacements202.png
203,0.711111,9,4,5,7,Windowplacements203.png
204,0.572222,0,10,18,14,Windowplacements204.png
205,0.638889,1,11,12,15,Windowplacements205.png
206,0.6,0,10,19,15,Windowplacements206.png
207,0.655556,8,9,2,5,Windowplacements207.png
208,0.616667,0,1,18,12,Windowplacements208.png
209,0.644444,9,11,6,7,Windowplacements209.png
210,0.672222,12,4,6,7,Windowplacements210.png
211,0.666667,16,9,11,15,Windowplacements211.png
212,0.7,0,1,10,8,Windowplacements212.png
213,0.505556,9,4,12,13,Windowplacements213.png
214,0.705556,0,8,10,5,Windowplacements214.png
215,0.744444,17,10,4,5,Windowplacements215.png
216,0.644444,18,11,4,7,Windowplacements216.png
217,0.661111,9,2,11,18,Windowplacements217.png
218,0.716667,0,2,4,7,Windowplacements218.png
219,0.516667,0,19,11,5,Windowplacements219.png
220,0.477778,0,18,12,5,Windowplacements220.png
