in:Index,out:% of Total Area,img,Panel_0,Panel_1,Panel_2,Panel_3,Panel_4,Panel_5,Panel_6,Panel_7,Panel_8,Panel_9,Panel_10,Panel_11,Panel_12,Panel_13,Panel_14,Panel_15,Panel_16,Panel_17,Panel_18,Panel_19
48.0,0.594444,Index48.png,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
49.0,0.7,Index49.png,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
50.0,0.572222,Index50.png,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
51.0,0.683333,Index51.png,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
52.0,0.65,Index52.png,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
53.0,0.727778,Index53.png,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
54.0,0.727778,Index54.png,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
55.0,0.633333,Index55.png,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
56.0,0.55,Index56.png,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
57.0,0.644444,Index57.png,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
58.0,0.638889,Index58.png,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
59.0,0.522222,Index59.png,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
60.0,0.638889,Index60.png,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
61.0,0.677778,Index61.png,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
62.0,0.722222,Index62.png,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
63.0,0.744444,Index63.0.png,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
64.0,0.583333,Index64.0.png,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
65.0,0.55,Index65.png,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
66.0,0.661111,Index66.png,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67.0,0.522222,Index67.png,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
68.0,0.627778,Index68.png,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
69.0,0.572222,Index69.png,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
70.0,0.466667,Index70.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
71.0,0.65,Index71.png,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
72.0,0.622222,Index72.png,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
73.0,0.666667,Index73.png,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
74.0,0.633333,Index74.png,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
75.0,0.666667,Index75.png,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
76.0,0.638889,Index76.png,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
77.0,0.661111,Index77.png,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
78.0,0.633333,Index78.png,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
79.0,0.65,Index79.png,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
80.0,0.672222,Index80.png,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
81.0,0.544444,Index81.png,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
82.0,0.777778,Index82.png,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83.0,0.511111,Index83.png,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
84.0,0.672222,Index84.png,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
85.0,0.661111,Index85.png,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
86.0,0.694444,Index86.png,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
87.0,0.666667,Index87.png,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
88.0,0.638889,Index88.png,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
89.0,0.711111,Index89.png,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90.0,0.555556,Index90.png,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
91.0,0.627778,Index91.png,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
92.0,0.616667,Index92.png,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
93.0,0.716667,Index93.png,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
94.0,0.688889,Index94.png,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
95.0,0.583333,Index95.png,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
96.0,0.594444,Index96.png,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
97.0,0.511111,Index97.png,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
98.0,0.677778,Index98.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
99.0,0.644444,Index99.png,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
100.0,0.516667,Index100.png,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
101.0,0.594444,Index101.png,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
102.0,0.683333,Index102.png,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
103.0,0.588889,Index103.png,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
104.0,0.683333,Index104.png,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
105.0,0.622222,Index105.png,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
106.0,0.633333,Index106.png,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
107.0,0.672222,Index107.png,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
108.0,0.7,Index108.png,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
109.0,0.644444,Index109.png,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
110.0,0.627778,Index110.png,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
111.0,0.661111,Index111.png,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
112.0,0.666667,Index112.png,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113.0,0.694444,Index113.png,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
114.0,0.638889,Index114.png,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
115.0,0.627778,Index115.png,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
116.0,0.583333,Index116.png,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
117.0,0.588889,Index117.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
118.0,0.627778,Index118.png,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
119.0,0.694444,Index119.png,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120.0,0.583333,Index120.png,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
121.0,0.455556,Index121.png,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
122.0,0.588889,Index122.png,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
123.0,0.644445,Index123.png,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
124.0,0.416667,Index124.png,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
125.0,0.677778,Index125.0.png,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
126.0,0.622222,Index126.0.png,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
127.0,0.494444,Index127.0.png,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
128.0,0.622222,Index128.0.png,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
129.0,0.683333,Index129.png,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
130.0,0.694444,Index130.png,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
131.0,0.65,Index131.png,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
132.0,0.688889,Index132.png,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
133.0,0.444444,Index133.png,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
134.0,0.566667,Index134.png,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
135.0,0.738889,Index135.png,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
136.0,0.666667,Index136.png,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
137.0,0.466667,Index137.png,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
138.0,0.466667,Index138.png,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
139.0,0.466667,Index139.png,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
140.0,0.683333,Index140.png,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
141.0,0.466667,Index141.png,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
142.0,0.511111,Index142.png,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
143.0,0.711111,Index143.png,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
144.0,0.627778,Index144.png,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
145.0,0.655556,Index145.png,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
146.0,0.683333,Index146.png,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
147.0,0.505556,Index147.png,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
148.0,0.644444,Index148.png,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
149.0,0.65,Index149.png,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
150.0,0.638889,Index150.png,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
151.0,0.544444,Index151.png,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
152.0,0.655556,Index152.png,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
153.0,0.65,Index153.png,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
154.0,0.727778,Index154.png,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
155.0,0.711111,Index155.png,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
156.0,0.661111,Index156.png,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
157.0,0.672222,Index157.png,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
158.0,0.55,Index158.png,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
159.0,0.716667,Index159.png,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
160.0,0.677778,Index160.png,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
161.0,0.727778,Index161.png,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
162.0,0.588889,Index162.png,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163.0,0.655556,Index163.png,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
164.0,0.638889,Index164.png,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
165.0,0.655556,Index165.png,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
166.0,0.705556,Index166.png,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
167.0,0.594444,Index167.png,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
168.0,0.611111,Index168.png,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
169.0,0.727778,Index169.png,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
170.0,0.672222,Index170.png,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
171.0,0.616667,Index171.png,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
172.0,0.705556,Index172.png,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
173.0,0.566667,Index173.png,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
174.0,0.588889,Index174.png,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
175.0,0.522222,Index175.png,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
176.0,0.588889,Index176.png,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
177.0,0.683333,Index177.png,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
178.0,0.705556,Index178.png,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
179.0,0.566667,Index179.png,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
180.0,0.605556,Index180.png,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
181.0,0.683333,Index181.png,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
182.0,0.644444,Index182.png,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
183.0,0.633333,Index183.png,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
184.0,0.666667,Index184.png,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
185.0,0.655556,Index185.png,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
186.0,0.688889,Index186.png,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
187.0,0.561111,Index187.png,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
188.0,0.655556,Index188.png,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
189.0,0.666667,Index189.png,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
190.0,0.661111,Index190.png,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
191.0,0.661111,Index191.png,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
192.0,0.572222,Index192.png,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
193.0,0.616667,Index193.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
194.0,0.661111,Index194.png,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
195.0,0.633333,Index195.png,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
196.0,0.622222,Index196.png,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
197.0,0.694444,Index197.png,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
198.0,0.627778,Index198.png,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
199.0,0.688889,Index199.png,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
200.0,0.655556,Index200.png,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
201.0,0.644444,Index201.png,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202.0,0.572222,Index202.png,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
203.0,0.6,Index203.png,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
204.0,0.661111,Index204.png,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
205.0,0.638889,Index205.png,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
206.0,0.616667,Index206.png,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
207.0,0.661111,Index207.png,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
208.0,0.683333,Index208.png,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
209.0,0.688889,Index209.png,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
210.0,0.466667,Index210.png,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
211.0,0.572222,Index211.png,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
212.0,0.672222,Index212.png,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
213.0,0.666667,Index213.png,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
214.0,0.716667,Index214.png,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215.0,0.65,Index215.png,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
216.0,0.688889,Index216.png,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
217.0,0.627778,Index217.png,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
218.0,0.644444,Index218.png,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
219.0,0.583333,Index219.png,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
220.0,0.611111,Index220.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
221.0,0.572222,Index221.png,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
222.0,0.627778,Index222.png,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
223.0,0.538889,Index223.png,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
224.0,0.683333,Index224.png,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
225.0,0.572222,Index225.png,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
226.0,0.633333,Index226.png,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
227.0,0.65,Index227.png,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
228.0,0.6,Index228.png,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
229.0,0.544444,Index229.png,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
230.0,0.605556,Index230.png,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
231.0,0.522222,Index231.png,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
232.0,0.555556,Index232.png,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
233.0,0.6,Index233.png,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
234.0,0.705556,Index234.png,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
235.0,0.622222,Index235.png,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
236.0,0.611111,Index236.png,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
237.0,0.622222,Index237.png,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
238.0,0.711111,Index238.png,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
239.0,0.627778,Index239.png,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
240.0,0.427778,Index240.png,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
241.0,0.633333,Index241.png,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
242.0,0.705556,Index242.png,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
243.0,0.6,Index243.png,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
244.0,0.666667,Index244.png,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
245.0,0.711111,Index245.png,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
246.0,0.588889,Index246.png,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
247.0,0.638889,Index247.png,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
248.0,0.611111,Index248.png,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
